,shannon,richness
SRR14291277,3.423649538130461,257
SRR14291278,3.4424616487894966,264
SRR14291279,3.256245452963635,260
SRR14291280,3.885752891789047,268
SRR14291281,3.899694369411667,267
SRR14291282,3.8288189078480674,269
SRR14291283,3.442066370365271,265
SRR14291284,3.6189319278220915,267
SRR14291285,3.6657044081686108,263
SRR14291286,3.588377901146224,264
SRR14291287,3.694667683245016,266
SRR14291288,3.5374203550999503,259
SRR14291289,3.5725857151073432,267
SRR14291290,3.9539239409499674,265
SRR14291291,3.821011066806552,262
SRR14291292,4.05879944859752,266
SRR14291293,4.053602990046283,264
SRR14291294,3.9877839026839124,266
SRR14291295,4.121055830217171,265
SRR14291296,3.432493064665267,265
SRR14291297,3.6721058559547957,266
SRR14291298,3.3400290536685877,263
SRR14291299,3.3538049096500018,261
SRR14291300,3.5412260936698106,269
SRR14291301,3.663780607934669,266
SRR14291302,3.583117582051106,270
SRR14291303,3.612050785665165,271
SRR14291304,3.587684854536516,246
SRR14291305,3.32679122570572,262
SRR14291306,3.388591567051581,263
SRR14291307,3.679841317396397,270
SRR14291308,3.366319735213853,268
SRR14291309,2.885817042831744,263
SRR14291310,3.2978707220713313,251
SRR14291311,3.6029802029233595,262
SRR14291312,4.031856777384434,271
SRR14291313,3.9924262219146804,267
SRR14291314,3.8743780546768423,271
SRR14291315,3.819924455426033,265
SRR14291316,3.72981165675597,265
SRR14291317,3.100255578046398,264
SRR14291318,3.9037621881687308,269
SRR14291319,3.965749613505956,269
SRR14291320,2.3529857870625435,262
SRR14291321,3.489432188265364,262
SRR14291322,3.48983867264608,267
SRR14291323,3.9839512713986824,267
SRR14291324,4.023509686025036,267
SRR14291325,3.874183488778012,272
SRR14291326,3.9196723853249487,271
SRR14291327,3.9538871671619473,269
SRR14291328,3.789120513519071,270
SRR14291329,3.790518124671107,268
SRR14291330,3.40255043019049,269
SRR14291331,3.575609346835601,268
SRR14291332,3.0792000082129554,264
SRR14291333,4.145106389123909,270
SRR14291334,4.272026559062439,271
SRR14291335,4.004786058191074,269
