,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Agarilytica rhodophyticola,0.0,0.0,0.0,0.0,0.0,0.0007372969010357969,0.0006996997510623775,0.0006112562152871557,0.000491567165279628,0.00046633757741981014,0.00023224730622155697,0.0,0.0004794864418157306,0.0004917353627798128,0.0005611829737085777,0.0,0.0008571150621258424,0.0010683175734234637,0.0008668137902489407,0.0005080539248435829,0.0004680112442509499
Amycolatopsis sp. FBCC-B4732,0.0,0.0,0.0,0.0,0.0,0.0,0.0003368924727337373,0.0005433388580330273,0.0,0.0,0.0,0.0,0.0004512813570030405,0.0006556471503730838,0.0006043508947630836,0.0015020991836090939,0.0011571053338698873,0.0008012381800675979,0.000677198273631985,0.0007257913212051184,0.0004305703447108739
Qipengyuania sp. HL-TH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006906867368720956,0.0,0.0,0.0,0.0,0.0,0.0
Aeromicrobium yanjiei,0.0,0.0,0.0,0.0,0.0,0.0,0.0003368924727337373,0.00027166942901651366,0.0,0.0,0.0,0.0,0.0007051271203172508,0.0009424927786613078,0.0006906867368720956,0.0006626908162981296,0.0012856725931887638,0.000834623104237081,0.0003792310332339116,0.0008346600193858862,0.0
Flavobacterium endoglycinae,0.0017973081793541648,0.0,0.0003497222129560781,0.0,0.0,0.0,0.00041463688951844595,0.0002490303099318042,0.0005617910460338605,0.0,0.00027869676746586835,0.0032875515509474787,0.0,0.0,0.0,0.0016788167346219283,0.0005571247903817976,0.0011684723459319134,0.000541758618905588,0.0006532121890846066,0.0005241725935610638
Paenibacillus donghaensis,0.001465196885343069,0.0011907471011923347,0.002232841821181114,0.0009105859256196992,0.0007652402376070938,0.0005968593960765974,0.0008033589734419888,0.00129042978782844,0.0009480223901821397,0.0008083184675276709,0.0007199666492868266,0.00173384568097915,0.0014102542406345016,0.001229338406949532,0.0030649223948699244,0.0028274808162053527,0.0019713646428894376,0.0023035597676943436,0.0018690672352242785,0.0015604513405910044,0.0022464539724045595
Ferrimonas balearica,0.0004102551278960593,0.0,0.0005918375911564399,0.0,0.0005101601584047292,0.0,0.00028506286154393156,0.00036222590535535154,0.0,0.0,0.0,0.001396083535333861,0.0006769220355045607,0.0,0.0005180150526540718,0.0007068702040513382,0.0,0.0005675437108812151,0.00046049482606974975,0.0,0.0006364952921812919
Endozoicomonas sp. GU-1,0.000742366421907155,0.0,0.000322820504267149,0.0002861841480519055,0.0,0.0,0.0003628072783286401,0.0003169476671859326,0.0,0.0,0.0,0.0012609786770757454,0.0005358966114411106,0.0004097794689831773,0.0005611829737085777,0.0,0.0008999708152321347,0.0005007738625422486,0.0005959344807961468,0.0,0.0007113770912614438
Crassaminicella indica,0.00169962838699796,0.0009592129426271586,0.0017217093560914615,0.0003902511109798711,0.0010840903366100495,0.001123500039673595,0.001814036391643201,0.001109316835150764,0.0007022388075423258,0.00034198089010786077,0.000998663416752695,0.004008110794990762,0.0012692288165710515,0.0014342281414411206,0.001985724368507275,0.001855534285634763,0.004114152298204043,0.005374972791286802,0.0033859913681599245,0.002286242661796123,0.0008424202396517097
Pleurocapsa sp. PCC 7327,0.00029303937706861384,0.0,0.0,0.0,0.0,0.0003862031386377983,0.0005182961118980573,0.0002263911908470947,0.0005617910460338605,0.0,0.00023224730622155697,0.0,0.0004230762721903505,0.0005327133096781304,0.0004316792105450597,0.000485973265285295,0.0007714035559132583,0.0011350874217624302,0.0006501103426867056,0.0008709495854461421,0.00044929079448091186
